NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
45367,STARLINK-1273,4468.392709348028,0.0,11.218772706153157,1.7529332353364308e-09,['NOMINAL'],Nominal,370491.82211116294,53.0514,420.6282593257513,STARLINK (LEO)
45368,STARLINK-1276,6501.277576495428,0.0,0.0,0.0,['NOMINAL'],Nominal,374222.3079553199,53.0722,527.9333772898187,STARLINK (LEO)
45369,STARLINK-1277,6054.595880436875,0.0,0.0,0.0,['NOMINAL'],Nominal,370853.95874645043,53.0502,400.0359387975008,STARLINK (LEO)
45370,STARLINK-1281,7919.442881235191,0.0,0.0,0.0,['NOMINAL'],Nominal,368523.2700583141,53.1583,480.5301077720758,STARLINK (LEO)
45374,STARLINK-1300,6989.638635214966,0.0,0.0,0.0,['NOMINAL'],Nominal,372911.18652425014,53.1595,465.7395495399018,STARLINK (LEO)
45375,STARLINK-1302,13199.194871454858,0.0,0.0,0.0,['NOMINAL'],Nominal,369461.586101001,53.0524,385.72210215516156,STARLINK (LEO)
45376,STARLINK-1304,3922.9800632163697,20.922986249577633,14.555120869271397,2.2742376358236557e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,369895.71038331004,53.04840000000001,403.9358874280375,STARLINK (LEO)
45377,STARLINK-1305,11855.46481729118,0.0,0.0,0.0,['NOMINAL'],Nominal,371298.1153519907,53.0441,383.35954684252533,STARLINK (LEO)
45379,STARLINK-1319,4989.7152097939315,0.0,0.0,0.0,['NOMINAL'],Nominal,364871.67550788046,53.044,355.2125831905006,STARLINK (LEO)
45383,STARLINK-1266,3744.107198071183,22.969911531343307,15.979068891369257,2.4967295142764464e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,369292.69721797586,53.0507,414.0771701822339,STARLINK (LEO)
45384,STARLINK-1267,12337.821922701736,0.0,0.0,0.0,['NOMINAL'],Nominal,369828.5400823467,53.0503,399.26483545744185,STARLINK (LEO)
45386,STARLINK-1272,11087.565727248546,0.0,0.0,0.0,['NOMINAL'],Nominal,370852.5765365386,53.0453,380.02613285350185,STARLINK (LEO)
45387,STARLINK-1274,2862.4753915388824,39.298171911332595,27.337858720927024,4.271540425144847e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,370381.506316198,53.0274,409.81595271156027,STARLINK (LEO)
45388,STARLINK-1280,6245.112029903358,0.0,0.0,0.0,['NOMINAL'],Nominal,369967.97129067004,53.0424,350.64272325647613,STARLINK (LEO)
45389,STARLINK-1283,5736.282268399112,0.0,0.0,0.0,['NOMINAL'],Nominal,31506.92712144276,53.0439,-4396.309840409603,STARLINK (LEO)
45390,STARLINK-1284,5836.36767126974,0.0,0.0,0.0,['NOMINAL'],Nominal,370903.9627046531,53.0479,389.8242725871763,STARLINK (LEO)
45395,STARLINK-1297,5490.196517301587,0.0,0.0,0.0,['NOMINAL'],Nominal,365477.51721966,53.0473,382.4293202843312,STARLINK (LEO)
45397,STARLINK-1307,5047.508478539259,0.0,0.0,0.0,['NOMINAL'],Nominal,368534.2037145102,53.0546,412.2277594758436,STARLINK (LEO)
45399,STARLINK-1255,11123.360590626799,0.0,0.0,0.0,['NOMINAL'],Nominal,370869.31333157443,53.042,395.49943989953204,STARLINK (LEO)
45404,STARLINK-1260,2973.1443700161158,36.42703938447331,25.34054913702491,3.959460802660142e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,368663.8359987673,53.1594,476.17008292876403,STARLINK (LEO)
45405,STARLINK-1263,5663.404097837001,0.0,0.0,0.0,['NOMINAL'],Nominal,373998.9661220067,53.1611,481.05095221515916,STARLINK (LEO)
45406,STARLINK-1265,7627.070309918715,0.0,0.0,0.0,['NOMINAL'],Nominal,369186.7592628252,53.1594,474.0537552942545,STARLINK (LEO)
45408,STARLINK-1278,9559.493600048052,0.0,0.0,0.0,['NOMINAL'],Nominal,368355.1867521194,53.0435,383.3782970939967,STARLINK (LEO)
